no,barcode,name,description,weight,width,lenght,height,price
1,5718930430,Chili Lime Shrimp,"Frozen shrimp seasoned with chili and lime, perfect for quick dinners.",5764,24513,18270,86271,8.99
2,9732219939,Sweet Potato and Chickpea Bowl,A nourishing bowl of sweet potatoes and chickpeas with spices.,24446,32411,38364,19477,6.49
3,6933056848,Customizable Wall Calendar,Personalize your calendar with photos and special dates.,22211,81334,38587,54158,24.99
4,3433258279,Wireless Range Extender,Boost your Wi-Fi signal for better coverage.,13744,46802,86418,39963,49.99
5,2293897648,BBQ Sauce,"A smoky barbecue sauce, ideal for grilling and dipping.",5452,25312,78514,21554,3.49
6,3188144083,Survival Gear Kit,Essential survival gear kit for emergencies.,21220,7827,83584,68734,59.99
7,5448675107,Fall-Themed Table Runner,Decorative table runner perfect for autumn gatherings.,339,438,84675,27090,19.99
8,7139271690,Pet Camera with Treat Dispenser,Monitor and interact with your pet remotely with this camera.,12213,55855,4747,7297,149.99
9,4480719210,Portable Ice Maker,Compact ice maker for creating ice at home or in offices.,14547,33253,8484,68564,199.99
10,0343523620,BBQ Jackfruit,"Tender jackfruit cooked in BBQ sauce, a delicious plant-based alternative.",19942,34348,105282,36129,4.29
11,3730262211,Sriracha Chili Sauce,Spicy chili sauce with garlic and sugar for a flavor kick.,27272,25093,11209,91611,2.79
12,7643801479,Chocolate Chip Cookie Mix,Everything you need to bake delicious chocolate chip cookies.,8748,81434,14301,92580,2.49
13,8555228395,Scent Diffuser Oil,Essential oil blends for a soothing atmosphere in your home.,19815,10168,108422,75320,14.99
14,4193545377,Pet Waterer with Filtration,Automatic waterer that filters and provides fresh drinking water for pets.,18966,44784,56631,46161,39.99
15,9498999295,Noise Cancelling Ear Muffs,Ear protection for shooting and industrial use.,10665,39406,50548,61517,24.99
16,4352892777,Electric Blanket,Extra soft electric blanket with adjustable heat settings.,15666,49716,4599,42723,59.99
17,7733202868,Chickpea Pancakes,"Savory pancakes made with chickpea flour, high in protein.",25764,87499,50165,82605,4.99
18,1833532864,Personal Safety Alarm,Compact alarm for personal safety and security.,321,21719,50262,41913,12.99
19,6971402073,Sweet Potatoes (organic),"Fresh organic sweet potatoes, great for roasting or mashing.",12518,87731,60078,1995,1.99
20,2167161719,Kids' Dinosaur-Themed Lunchbox,Fun lunchbox for kids with a sturdy design.,19899,19014,116392,90321,19.99
21,7313797893,Beef Stroganoff Meal Kit,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,25408,15179,53818,83270,12.99
22,9051184182,Travel Size Toiletry Bottles,Leak-proof bottles for travel-sized toiletries.,14931,62742,20393,11244,9.99
23,4389171356,Mayonnaise,"Creamy mayonnaise, perfect for salads and sandwiches.",12378,52971,33238,89502,3.29
24,0640391265,Balsamic Fig Dressing,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",12718,30231,29097,119,3.79
25,7327865446,Teriyaki Salmon Fillets,"Frozen salmon fillets marinated in teriyaki sauce, ready to grill or bake.",24661,88074,11292,70831,9.99
26,4545824552,Bamboo Cotton Tank Top,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",10596,64240,62224,47041,22.99
27,3871860352,Coconut Flakes,Unsweetened coconut flakes for baking and topping.,24378,35992,41693,63869,3.29
28,2630037533,Organic Quinoa,Nutritious organic quinoa for salads or sides,11577,21483,31293,1629,4.29
29,5415126961,Chino Shorts,Classic chino shorts in a versatile color for summer adventures.,16138,82491,87859,72670,34.99
